,state,name,type,city,county,enroll,mmr,overall,xrel,xmed,xper
225,Arizona,Gowan Science Academy,Public,Yuma,Yuma,60.0,98.33,92.06,4.33,2.0,1.67
226,Arizona,Frances Owen Holaway Elementary,Public,Tucson,Pima,59.0,98.31,92.06,4.33,2.0,1.69
227,Arizona,Nevitt Elementary,Public,Phoenix,Maricopa,118.0,98.31,92.06,4.33,2.0,1.69
228,Arizona,Mendoza Elementary,Public,Mesa,Maricopa,58.0,98.28,92.06,4.33,2.0,5.17
229,Arizona,John F Long,Public,Phoenix,Maricopa,115.0,98.26,92.06,4.33,2.0,1.74
230,Arizona,Barbara B Robey Elementary,Public,Litchfield Park,Maricopa,114.0,98.25,92.06,4.33,2.0,1.75
231,Arizona,Continental Elementary,Public,Green Valley,Pima,57.0,98.25,92.06,4.33,2.0,1.75
232,Arizona,Madison Elementary,Public,Mesa,Maricopa,57.0,98.25,92.06,4.33,2.0,1.75
233,Arizona,Sarah Marley,Public,Douglas,Cochise,57.0,98.25,92.06,4.33,2.0,7.53
234,Arizona,Taft Elementary,Public,Mesa,Maricopa,57.0,98.25,92.06,4.33,2.0,3.51
235,Arizona,Whiteriver Elementary,Public,Whiteriver,Navajo,57.0,98.25,92.06,4.33,2.0,7.53
236,Arizona,Agua Caliente,Public,Tucson,Pima,56.0,98.21,92.06,4.33,2.0,1.79
237,Arizona,Corte Sierra Elementary,Public,Avondale,Maricopa,112.0,98.21,92.06,4.33,2.0,1.79
238,Arizona,Desert View Academy,Charter,Yuma,Yuma,168.0,98.21,92.06,4.33,2.0,2.38
239,Arizona,Palo Verde,Public,Casa Grande,Pinal,56.0,98.21,92.06,4.33,2.0,1.79
240,Arizona,Anna Henry Elementary,Public,Tucson,Pima,55.0,98.18,92.06,4.33,2.0,1.82
241,Arizona,Ocotillo Elementary,Public,Tucson,Pima,110.0,98.18,92.06,4.33,2.0,1.82
242,Arizona,Sunset Ridge Elementary-85086,Public,Phoenix,Maricopa,55.0,98.18,92.06,4.33,2.0,1.82
243,Arizona,Sahuaro,Public,Phoenix,Maricopa,54.0,98.15,92.06,4.33,2.0,3.7
244,Arizona,William R Sullivan Elementary,Public,Phoenix,Maricopa,54.0,98.15,92.06,4.33,2.0,1.85
245,Arizona,Starlight Park,Public,Phoenix,Maricopa,107.0,98.13,92.06,4.33,2.0,7.53
